Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2015,2015 Annual,"Smoking - $50-$74,999",South Dakota,22.0,15.2,-0.07,19.0,11.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Tennessee,50.0,24.0,2.0,29.6,18.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Texas,26.0,15.5,0.04,18.7,12.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Utah,1.0,9.7,-2.0,11.3,8.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Vermont,2.0,11.1,-1.57,13.5,8.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Virginia,45.0,18.3,1.06,21.3,15.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Washington,13.0,13.7,-0.62,16.4,11.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",West Virginia,48.0,18.9,1.28,22.4,15.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Wisconsin,15.0,13.9,-0.55,17.3,10.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Wyoming,37.0,17.5,0.77,21.8,13.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",United States,,15.4,,16.0,14.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",District of Columbia,,9.7,,14.6,4.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Alabama,39.0,11.1,0.61,13.2,8.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Alaska,43.0,12.6,1.27,14.9,10.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Arizona,13.0,8.7,-0.44,10.2,7.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Arkansas,48.0,15.0,2.0,18.9,11.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",California,9.0,8.3,-0.61,9.9,6.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Colorado,6.0,8.1,-0.7,9.2,7.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Connecticut,22.0,9.2,-0.22,10.9,7.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Delaware,42.0,12.3,1.14,15.7,8.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Florida,40.0,11.5,0.79,13.5,9.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Georgia,4.0,7.7,-0.88,9.7,5.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Hawaii,9.0,8.3,-0.61,10.1,6.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Idaho,2.0,6.8,-1.27,9.1,4.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Illinois,30.0,10.1,0.18,12.2,8.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Indiana,33.0,10.3,0.26,12.0,8.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Iowa,31.0,10.2,0.22,12.0,8.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Kansas,22.0,9.2,-0.22,10.4,8.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Kentucky,46.0,14.0,1.89,16.6,11.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Louisiana,50.0,16.4,2.0,18.9,14.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Maine,9.0,8.3,-0.61,10.1,6.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Maryland,16.0,8.9,-0.35,10.3,7.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Massachusetts,3.0,7.0,-1.18,8.1,5.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Michigan,34.0,10.5,0.35,12.3,8.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Minnesota,16.0,8.9,-0.35,9.9,7.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Mississippi,45.0,13.2,1.54,16.9,9.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Missouri,36.0,10.8,0.48,13.3,8.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Montana,27.0,9.7,0.0,12.0,7.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Nebraska,22.0,9.2,-0.22,10.5,8.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Nevada,28.0,9.8,0.04,12.6,7.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",New Hampshire,16.0,8.9,-0.35,10.8,7.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",New Jersey,41.0,11.6,0.83,13.2,10.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",New Mexico,16.0,8.9,-0.35,10.9,6.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",New York,25.0,9.4,-0.13,11.2,7.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",North Carolina,12.0,8.6,-0.48,10.4,6.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",North Dakota,49.0,15.1,2.0,17.3,12.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Ohio,38.0,10.9,0.53,13.1,8.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Oklahoma,15.0,8.8,-0.39,10.5,7.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Oregon,6.0,8.1,-0.7,10.2,5.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Pennsylvania,36.0,10.8,0.48,12.5,9.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Rhode Island,13.0,8.7,-0.44,10.5,6.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",South Carolina,31.0,10.2,0.22,12.0,8.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",South Dakota,29.0,9.9,0.09,13.0,6.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Tennessee,21.0,9.1,-0.26,12.4,5.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Texas,26.0,9.6,-0.04,11.3,7.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Utah,1.0,5.0,-2.0,5.9,4.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Vermont,4.0,7.7,-0.88,9.4,6.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Virginia,34.0,10.5,0.35,12.1,8.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Washington,8.0,8.2,-0.66,9.6,6.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",West Virginia,47.0,14.3,2.0,17.1,11.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Wisconsin,16.0,8.9,-0.35,10.8,7.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",Wyoming,43.0,12.6,1.27,15.5,9.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",United States,,9.7,,10.0,9.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $75,000 or More",District of Columbia,,6.8,,8.9,4.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Alabama,28.0,32.0,0.93,34.9,29.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Alaska,45.0,35.9,1.65,41.2,30.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Arizona,5.0,21.8,-0.96,24.3,19.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Arkansas,45.0,35.9,1.65,39.9,31.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",California,1.0,18.5,-1.57,20.7,16.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Colorado,21.0,28.1,0.2,30.7,25.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Connecticut,14.0,27.0,0.0,30.5,23.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Delaware,22.0,28.3,0.24,32.7,24.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Florida,7.0,23.8,-0.59,26.4,21.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Georgia,10.0,25.1,-0.35,28.3,21.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Hawaii,11.0,25.6,-0.26,29.0,22.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Idaho,17.0,27.7,0.13,31.5,23.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Illinois,15.0,27.1,0.02,31.0,23.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Indiana,47.0,37.7,1.98,40.4,35.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Iowa,41.0,34.6,1.41,38.2,31.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Kansas,29.0,32.2,0.96,34.5,29.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Kentucky,50.0,40.8,2.0,44.0,37.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Louisiana,40.0,34.4,1.37,37.3,31.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Maine,32.0,32.9,1.09,35.7,30.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Maryland,8.0,24.9,-0.39,28.9,21.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Massachusetts,16.0,27.5,0.09,30.4,24.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Michigan,44.0,35.6,1.59,38.8,32.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Minnesota,23.0,29.0,0.37,31.4,26.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Mississippi,30.0,32.3,0.98,36.1,28.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Missouri,32.0,32.9,1.09,36.4,29.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Montana,39.0,34.1,1.32,37.6,30.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - Less Than $25,000",Nebraska,19.0,27.9,0.17,30.2,25.6,"CDC, Behavioral Risk Factor Surveillance System",2014
